Rank,Name,Score,Age
41,TANG CHIH-CHUN ,72.45,17
50,QUAN SUN ,63,17
130,HO GORA ,30.325,17
178,MD IBRAHIM SHEIK REZOWAN ,23.1,17
182,ALEJANDRO BENï¿½TEZ ,22.8,17
199,DAMIAN VAES ,21,17
24,JACK WILLIAMS ,101.7,18
79,TOMATSU DAISUKE ,45.4,18
103,GAURAV TRAMBAK LAMBE ,37.4,18
111,ALEX WISE ,35.5,18
120,ERDAL MERIC DAL ,33,18
144,YAN WANG ,27,18
144,KIM KANGHYUN ,27,18
144,WEI SHAOXUAN ,27,18
156,YASHDEV . ,26.125,18
177,MARCELO COSTA ,23.125,18
179,LI YEN-YU ,23,18
193,JARNO DE SMEDT ,21.5,18
5,METE GAZOZ ,197.5,19
19,RICARDO SOTO ,111.9,19
60,MUHAMAD ZARIF SYAHIIR ZOLKEPELI ,56.475,19
63,ALEN REMAR ,52.15,19
72,DENG YU-CHENG ,48.475,19
97,SACHIN GUPTA ,39.575,19
131,TAMIMUL ISLAM MOHAMMAD ,29.6,19
137,WANG WENXUAN ,28,19
139,MARIO DAMIAN JAJARABILLA ,27.6,19
22,MARCUS D'ALMEIDA ,108,20
49,ABDULLIN ILFAT ,63.5,20
58,JAO TING-YU ,58.95,20
69,MA TIANCI ,49.5,20
80,JAN VAN TONGEREN ,45,20
94,MATEUSZ OGRODOWCZYK ,40.5,20
141,MANSOUR FAHD M. ALWI ,27.4,20
175,LUDVIG FLINK ,23.45,20
198,LUIS GABRIEL MORENO ,21.05,20
1,LEE WOO SEOK ,267.75,21
8,THOMAS CHIRAULT ,166.75,21
29,GASPER STRAJHAR ,89.6,21
56,MUTO HIROKI ,59.75,21
64,KAWATA YUKI ,52,21
68,OTGONBOLD BAATARKHUYAG ,49.9,21
69,BEN ADRIAENSEN ,49.5,21
73,ANDRES AGUILAR ,48,21
111,KURAYA TOMOAKI ,35.5,21
129,HOANG VAN LOC ,30.4,21
134,NIKOLA STEFANOVIC ,28.7,21
181,ONUR TEZEL ,22.925,21
182,WILLIAN O' BRIEN ,22.8,21
185,MATHIEU JIMENEZ ,22.6,21
191,SVIATASLAU TSARANKOU ,21.75,21
193,FLORIAN FABER ,21.5,21
200,NATTHAPOOM PHUSAWAT ,20.7,21
2,STEVE WIJLER ,256.5,22
26,ARSALAN BALDANOV ,98.75,22
27,DAN OLARU ,96.5,22
28,WANG DAPENG ,93.25,22
31,DAVID PASQUALUCCI ,86.5,22
32,ANDREAS GSTOETTNER ,85.25,22
33,PABLO ACHA ,85.2,22
36,SANZHAR MUSSAYEV ,81.5,22
38,PATRICK HUSTON ,77.5,22
43,KIM JONGHO ,71,22
57,DANIEL MARTINEZ ,59.7,22
71,ROK BIZJAK ,49.05,22
90,VITALII POPOV ,41,22
102,CHU DUC ANH ,37.7,22
104,FELIPE PEREZ ,37.125,22
107,ROMAIN FICHET ,36,22
138,DOMINIK IRRASCH ,27.725,22
159,YAMAMOTO MASAYA ,25.25,22
160,IGNACIO ESCALANTE ,25.05,22
166,COLLIN KLIMITCHEK ,24.75,22
167,HECTOR RAMOS ,24.6,22
171,PIT KLEIN ,24.15,22
184,ZURAB MESTVIRISHVILI ,22.725,22
186,PUREVSUREN BATAA ,22.45,22
11,SJEF VAN DEN BERG ,137.25,23
23,MUHAMMAD AKMAL NOR HASRIN ,107.25,23
30,MAXIMILIAN WECKMUELLER ,88.5,23
47,ARTEM MAKHNENKO ,65.75,23
51,MD RUMAN SHANA ,61.35,23
52,THOMAS FLOSSBACH ,61.2,23
54,LEE SEUNGYUN ,60,23
75,MATIJA MIHALIC ,47.525,23
95,ESTIVEN RAMIREZ ,39.825,23
100,DANIEL BETANCUR ,38.213,23
106,CONNER SORLEY ,36.45,23
107,LUCAS DANIEL ,36,23
136,ARPAD BANDA ,28.35,23
140,SUGIO TOMOKI ,27.5,23
141,ADIYASUREN BAASANKHUU ,27.4,23
149,SADEGH ASHRAFI ,26.95,23
154,EDSON KIM ,26.4,23
157,TAO JIN ,26,23
164,SERGII MAKAREVYCH ,24.975,23
173,DHANIRAM BASUMATARY ,23.625,23
195,MART OONA ,21.4,23
9,WEI CHUN-HENG ,153.5,24
35,MIGUEL ALVARINO GARCIA ,81.875,24
42,GALSAN BAZARZHAPOV ,71.95,24
46,SULTAN DUZELBAYEV ,66.5,24
90,LUO WEI-MIN ,41,24
96,IBRAHIM ETHEM GULACAR ,39.6,24
99,THOMAS ANTOINE ,38.25,24
105,FARES MATER ALOTAIBI ,36.9,24
133,ANDREI DANILA ,28.825,24
151,ASHE MORGAN ,26.75,24
155,LUIS MIGUEL JAQUEZ ,26.2,24
169,OONUKI WATARU ,24.5,24
18,FLORIAN KAHLLUND ,115.625,25
37,ERNESTO BOARDMAN ,79.2,25
45,DANIEL FELIPE PINEDA ,66.75,25
65,LI JIALUN ,51.75,25
74,XU TIANYU ,47.75,25
77,HAZIQ KAMARUDDIN ,45.5,25
77,ANTTI OLAVI VIKSTROM ,45.5,25
89,JORGE OCIEL NEVAREZ ,41.2,25
122,KACPER SIERAKOWSKI ,32.45,25
132,FELIX WIESER ,29.5,25
165,JIM RAVEN ROSARIO ,24.8,25
196,MITCH DIELEMANS ,21.15,25
196,OLDAIR ZAMORA ,21.15,25
2,KIM WOOJIN ,256.5,26
17,ATANU DAS ,117,26
40,HEORHIY IVANYTSKYY ,73.1,26
55,DEN HABJAN MALAVASIC ,59.9,26
59,OLEKSII HUNBIN ,56.75,26
82,HUGO FRANCO ,44.538,26
121,TANAPAT PATHAIRAT ,32.9,26
128,RICK VAN DEN OEVER ,31.163,26
151,MACIEJ FALDZINSKI ,26.75,26
168,GUILLERMO AGUILAR ,24.525,26
170,PAUL ANDRE HAGEN ,24.475,26
174,DE SILVA SAJEEV ,23.5,26
188,ALEK EDWAR ,22,26
10,TAYLOR WORTH ,148.5,27
16,KHAIRUL ANUAR MOHAMAD ,122.75,27
20,RIAU EGA AGATHA ,111.5,27
21,RYAN TYACK ,110.5,27
44,LUIS ALVAREZ ,69.475,27
76,FATIH BOZLAR ,45.6,27
84,ANDRES PILA ,42.2,27
107,KEVIN SABADO ,36,27
115,HAMILTON NGUYEN ,34.2,27
125,DAI XIAOXIANG ,31.5,27
135,LUIS ANTONIO ALVAREZ MURILLO ,28.6,27
161,RICK VAN DER VEN ,25,27
161,DING LIYE ,25,27
25,DENIS GANKIN ,101.25,28
61,DIEGO CASTRO ,55.8,28
66,TOM HALL ,51.25,28
80,ALEXANDER KOZHIN ,45,28
85,ABDALELAH BINALI ,42,28
144,KIM KYU-CHAN ,27,28
153,IBRAHIM AL-MOHANADI ,26.5,28
