World Rank,Name,Country,Score,Age,Average Arrow
1,STEVE WIJLER,NED,270.500,22,9.28
2,LEE WOO SEOK,KOR,267.750,21,9.44
3,KIM WOOJIN,KOR,256.500,26,9.47
4,MAURO NESPOLI,ITA,218.250,30,9.3
5,IM DONG HYUN,KOR,208.000,32,9.42
6,METE GAZOZ,TUR,197.500,19,9.27
7,BRADY ELLISON,USA,177.750,29,9.29
8,WEI CHUN-HENG,TPE,170.500,24,9.26
9,THOMAS CHIRAULT,FRA,166.750,21,9.18
10,TAYLOR WORTH,AUS,148.500,27,9.28
11,FURUKAWA TAKAHARU,JPN,143.000,34,9.27
12,CRISPIN DUENAS,CAN,141.100,32,9.27
13,SJEF VAN DEN BERG,NED,140.750,23,9.38
14,OH JIN HYEK,KOR,138.500,37,9.46
15,JEAN-CHARLES VALLADONT,FRA,130.000,29,9.00
16,KHAIRUL ANUAR MOHAMAD,MAS,125.750,27,9.24
17,RICARDO SOTO,CHI,124.500,18,9.06
18,ATANU DAS,IND,117.000,26,9.28
19,FLORIAN KAHLLUND,GER,115.625,25,9.13
20,RYAN TYACK,AUS,114.500,27,9.24
21,RIAU EGA AGATHA,INA,111.500,26,9.24
22,ARSALAN BALDANOV,RUS,110.750,22,9.13
23,MARCUS D’ALMEIDA,BRA,108.000,20,9.19
24,MUHAMMAD AKMAL NOR HASRIN,MAS,107.250,23,9.09
25,DENIS GANKIN,KAZ,102.250,28,9.12
26,JACK WILLIAMS,USA,101.700,18,9.24
27,DAN OLARU,MDA,97.000,21,9.06
28,MAXIMILIAN WECKMUELLER,GER,95.500,23,9.06
29,DAVID PASQUALUCCI,ITA,93.500,22,9.13
30,WANG DAPENG,CHN,93.250,21,9.2
31,PABLO ACHA,ESP,92.200,22,9.12
32,GASPER STRAJHAR,SLO,89.600,20,9.07
33,ANDREAS GSTOETTNER,AUT,85.250,22,9.12
34,MATTHEW REQUA,USA,84.600,29,8.94
35,PATRICK HUSTON,GBR,84.500,22,9.14
36,MIGUEL ALVARINO GARCIA,ESP,83.875,24,9.14
37,SANZHAR MUSSAYEV,KAZ,81.500,22,9.03
38,PIERRE PLIHON,FRA,80.500,28,9.15
39,ERNESTO BOARDMAN,MEX,79.750,25,9.13
40,HEORHIY IVANYTSKYY,UKR,77.100,26,9.15
41,KIKUCHI HIDEKI,JPN,74.750,32,9.15
42,GALSAN BAZARZHAPOV,RUS,72.500,23,9.08
43,TANG CHIH-CHUN,TPE,72.450,17,9.19
44,KIM JONGHO,KOR,71.000,22,9.4
45,ARTEM MAKHNENKO,RUS,69.750,22,9.27
46,THOMAS FLOSSBACH,GUA,69.600,23,8.9
47,DANIEL FELIPE PINEDA,COL,67.950,24,8.99
48,SULTAN DUZELBAYEV,KAZ,66.500,24,9.02
49,MARCO GALIAZZO,ITA,65.050,35,9.16
50,DIEGO CASTRO,GUA,64.200,28,8.78
51,ABDULLIN ILFAT,KAZ,63.500,20,9.11
52,QUAN SUN,CHN,63.000,17,9.15
53,MD RUMAN SHANA,BAN,61.350,23,9.17
54,LEE SEUNGYUN,KOR,60.000,23,9.48
55,DEN HABJAN MALAVASIC,SLO,59.900,26,8.94
56,MUTO HIROKI,JPN,59.750,21,9.06
57,JAO TING-YU,TPE,58.950,20,9.01
58,LUIS ALVAREZ,MEX,58.475,27,9.07
59,DANIEL MARTINEZ,DOM,57.300,22,8.68
60,OLEKSII HUNBIN,UKR,56.750,25,9.06
61,MUHAMAD ZARIF SYAHIIR ZOLKEPELI,MAS,56.475,19,8.92
62,ANDRES AGUILAR,CHI,54.000,21,8.83
63,BRIAN MAXWELL,CAN,53.600,32,8.91
64,TOM HALL,GBR,53.250,28,9.05
65,ALEN REMAR,CRO,53.150,19,8.9
66,KAWATA YUKI,JPN,52.000,21,9.11
67,LI JIALUN,CHN,51.750,25,9.06
68,AMEDEO TONELLI,ITA,50.738,33,8.7
69,DENG YU-CHENG,TPE,50.475,19,9.02
70,ROK BIZJAK,SLO,50.050,22,8.92
71,BEN ADRIAENSEN,BEL,50.000,21,8.78
72,OTGONBOLD BAATARKHUYAG,MGL,49.900,21,9
73,MA TIANCI,CHN,49.500,20,9.05
74,XU TIANYU,CHN,47.750,25,9.13
75,MATIJA MIHALIC,CRO,47.525,23,8.73
76,HAZIQ KAMARUDDIN,MAS,47.500,25,9.04
77,JAKE KAMINSKI,USA,47.000,30,8.99
78,FATIH BOZLAR,TUR,45.600,27,8.92
79,ESTIVEN RAMIREZ,COL,45.525,23,8.73
80,ANTTI OLAVI VIKSTROM,FIN,45.500,25,8.95
81,TOMATSU DAISUKE,JPN,45.400,18,9.36
82,JAN VAN TONGEREN,NED,45.000,19,9.03
82,ALEXANDER KOZHIN,RUS,45.000,28,9.15
84,HUGO FRANCO,CUB,44.738,26,8.83
85,VIKTOR RUBAN,UKR,43.000,37,8.97
86,ABDALELAH BINALI,KSA,42.000,28,8.74
87,JEFF HENCKELS,LUX,41.725,34,8.94
88,VITALII POPOV,RUS,41.000,22,9.04
88,LUO WEI-MIN,TPE,41.000,24,8.93
90,YURIY HAVELKO,UKR,40.763,30,9.02
91,MATEUSZ OGRODOWCZYK,POL,40.500,20,8.88
92,IBRAHIM ETHEM GULACAR,TUR,39.600,24,8.86
93,SACHIN GUPTA,IND,39.575,19,8.95
94,DANIEL REZENDE XAVIER,BRA,39.375,36,8.88
95,THOMAS ANTOINE,FRA,38.250,24,9.11
96,WITTHAYA THAMWONG,THA,37.800,31,8.91
97,CHU DUC ANH,VIE,37.700,22,8.96
98,JORGE OCIEL NEVAREZ,MEX,37.525,25,8.93
99,OIBEK SAIDIYEV,KAZ,37.500,31,9.02
100,GAURAV TRAMBAK LAMBE,IND,37.400,18,8.97
